feature,count,mean,std,min,max
Packet Length Variance,2830743,486154.7581309925,1647489.5886358044,0.0,22400000.0
RST Flag Count,2830743,0.0002423392021105413,0.015565361345682333,0.0,1.0
SYN Flag Count,2830743,0.04644646299575765,0.21044996809441754,0.0,1.0
Subflow Bwd Bytes,2830743,16162.302467938629,2263056.883779947,0.0,655453030.0
Subflow Bwd Packets,2830743,10.393770116185044,997.3880927343205,0.0,291922.0
Subflow Fwd Bytes,2830743,549.2919360747337,9980.068481137072,0.0,12870338.0
Subflow Fwd Packets,2830743,9.361159949878884,749.672660081735,1.0,219759.0
Total Backward Packets,2830743,10.393770116185044,997.3880927343205,0.0,291922.0
Total Fwd Packets,2830743,9.361159949878884,749.672660081735,1.0,219759.0
Total Length of Bwd Packets,2830743,16162.64254649751,2263087.651991978,0.0,655453030.0
Total Length of Fwd Packets,2830743,549.3024145957439,9993.587464204973,0.0,12900000.0
URG Flag Count,2830743,0.0948231612689672,0.29297052642872906,0.0,1.0
act_data_pkt_fwd,2830743,5.418217761202624,636.425551486494,0.0,213557.0
min_seg_size_forward,2830743,-2741.687868520738,1084989.1921730493,-536870661.0,138.0
